cfips,pct_employed_at_self_employed,pct_employed_at_non_profit,pct_employed_at_government
19125,9.1,10.5,11.7
19127,7.5,6.8,12.0
19129,10.4,11.4,16.8
19131,17.5,8.6,12.1
19133,13.799999999999999,7.4,12.4
19135,13.600000000000001,8.7,14.1
19137,13.899999999999999,9.0,13.5
19139,9.6,5.0,12.9
19141,16.3,10.8,9.6
19143,19.200000000000003,9.3,12.6
19145,13.100000000000001,7.1,14.0
19147,13.700000000000001,8.0,16.4
19149,15.6,7.1,10.8
19151,18.799999999999997,6.3,14.9
19153,7.5,8.7,11.3
19155,7.3,8.2,13.1
19157,9.8,14.9,9.8
19159,19.5,8.7,16.2
19161,18.4,7.0,13.0
19163,8.3,8.6,11.9
19165,19.6,5.8,11.5
19167,14.0,13.1,10.0
19169,7.5,6.2,30.3
19171,12.7,6.3,14.9
19173,15.299999999999999,6.1,16.5
