cfips,birth_rate,pct_new_young_mothers
27139,48,0.0
27141,65,3.7
27143,65,3.1
27145,53,1.0
27147,49,0.0
27149,68,0.0
27151,80,4.9
27153,79,0.0
27155,85,11.3
27157,67,0.0
27159,94,0.8
27161,58,4.7
27163,55,0.1
27165,62,5.3
27167,73,0.0
27169,43,0.4
27171,82,0.5
27173,59,1.9
28001,71,5.7
28003,32,19.1
28005,16,0.0
28007,79,17.4
28009,25,0.0
28011,74,2.9
28013,18,33.9
28015,98,0.0
28017,70,8.2
28019,26,0.0
28021,13,0.0
28023,33,0.0
28025,46,0.0
28027,71,8.2
28029,61,12.6
28031,45,12.5
28033,61,7.2
28035,67,1.3
28037,15,0.0
28039,85,0.0
28041,32,0.0
28043,77,22.4
28045,53,0.0
28047,52,3.6
28049,57,1.8
28051,81,3.0
28053,26,0.0
28055,130,0.0
28057,63,0.0
28059,56,1.5
28061,76,0.0
28063,6,0.0
28065,78,0.0
28067,65,0.6
28069,100,2.4
28071,24,14.1
28073,55,1.7
28075,59,7.4
28077,53,20.4
28079,71,0.0
28081,57,0.9
28083,34,30.5
28085,65,1.7
28087,54,10.5
28089,42,0.5
28091,62,0.0
28093,43,1.8
28095,49,0.0
28097,108,0.0
28099,66,4.8
28101,75,0.3
28103,54,0.0
28105,33,2.2
28107,45,5.9
28109,52,0.0
28111,74,22.8
28113,61,2.0
28115,52,6.5
28117,88,2.0
28119,61,0.0
28121,49,19.4
28123,69,0.0
28125,23,0.0
28127,23,10.5
28129,43,0.0
28131,44,0.0
28133,54,0.0
28135,29,0.0
28137,79,0.0
28139,55,17.7
28141,39,0.0
28143,90,9.2
28145,42,5.2
28147,75,24.6
28149,57,12.3
28151,50,14.1
28153,56,0.0
28155,103,37.2
28157,38,0.0
28159,55,0.0
28161,62,0.0
28163,73,2.2
29001,34,0.8
29003,29,0.9
29005,54,0.0
29007,50,8.6
29009,61,9.1
29011,88,0.0
29013,59,17.6
29015,58,2.3
29017,57,2.1
29019,50,1.6
